Unnamed: 0,index,release_year,rank,song,artist,last-week,peak-rank,weeks-on-board,release_year.1,count,track_id
154,601,1985,99,St. Elmo's Fire (Man In Motion),John Parr,92.0,1,22,1985,1,1A2PWRltFrX8iB8IP3CUgo
155,604,1985,96,Everytime You Go Away,Paul Young,84.0,1,23,1985,1,6ktlRjmAIzEk3a56L7brb0
156,609,1985,98,Don't You (Forget About Me),Simple Minds,79.0,1,22,1985,1,07o54snAilKYHsW8bGFe9x
157,610,1985,100,We Are The World,USA For Africa,92.0,1,18,1985,1,7ccI9cStQbQdystvc6TvxD
158,613,1985,89,I Want To Know What Love Is,Foreigner,75.0,1,21,1985,1,1JLn8RhQzHz3qDqsChcmBl
159,620,1984,96,Missing You,John Waite,84.0,1,24,1984,1,1Qrdlkgg9I4J7r3P4kZNwr
160,621,1984,91,What's Love Got To Do With It,Tina Turner,78.0,1,28,1984,1,3ErsOxqe2RmXkR65wkygDz
161,622,1984,98,Ghostbusters,Ray Parker Jr.,95.0,1,21,1984,1,3m0y8qLoznUYi73SUBP8GI
162,623,1984,76,Let's Hear It For The Boy,Deniece Williams,66.0,1,19,1984,1,4VyU9Tg4drTj2mOUZHSK2u
163,624,1984,93,Footloose,Kenny Loggins,82.0,1,23,1984,1,6W2VbtvMrDXm5vYeB7amkO
164,625,1984,100,Jump,Van Halen,89.0,1,21,1984,1,7N3PAbqfTjSEU1edb2tY8j
165,626,1984,97,Karma Chameleon,Culture Club,90.0,1,22,1984,1,2wSAWEYUHkt92X4SBAPqZE
166,627,1984,97,Owner Of A Lonely Heart,Yes,79.0,1,23,1984,1,0GTK6TesV108Jj5D3MHsYb
167,628,1984,99,Say Say Say,Paul McCartney And Michael Jackson,76.0,1,22,1984,1,4NioO5R9sHEZh4cGzMHyNt
168,629,1984,97,Islands In The Stream,Kenny Rogers Duet With Dolly Parton,72.0,1,25,1984,1,4mnOVRRXsaqg9Nb041xR8u
169,630,1984,96,Total Eclipse Of The Heart,Bonnie Tyler,87.0,1,29,1984,1,7wuJGgpTNzbUyn26IOY6rj
170,631,1983,83,Sweet Dreams (Are Made Of This),Eurythmics,77.0,1,26,1983,1,1TfqLAPs4K3s2rJMoCokcS
171,632,1983,89,Maniac,Michael Sembello,63.0,1,22,1983,1,6KfoDhO4XUWSbnyKjNp9c4
172,633,1983,92,Every Breath You Take,The Police,55.0,1,22,1983,1,1JSTJqkT5qHq8MDJnJbRE1
173,634,1983,74,Flashdance...What A Feeling,Irene Cara,64.0,1,25,1983,1,3cbV252akVZInSvJk7jAYX
174,637,1983,97,Come On Eileen,Dexys Midnight Runners,87.0,1,23,1983,1,3MrWxJaD2AT0W9DjWF64Vm
175,640,1983,90,"Baby, Come To Me",Patti Austin A Duet With James Ingram,76.0,1,32,1983,1,65bvH7egzl7h9f7uJmqGV4
176,641,1983,93,Africa,Toto,69.0,1,21,1983,1,2374M0fQpWi3dLnB54qaLX
177,642,1983,96,Mickey,Toni Basil,88.0,1,27,1983,1,3RKjTYlQrtLXCq5ncswBPp
178,643,1983,91,Up Where We Belong,Joe Cocker And Jennifer Warnes,58.0,1,23,1983,1,4U6mBgGP8FXN6UH4T3AJhu
179,644,1982,96,Jack & Diane,John Cougar,85.0,1,22,1982,1,43btz2xjMKpcmjkuRsvxyg
180,645,1982,93,Eye Of The Tiger,Survivor,75.0,1,25,1982,1,2HHtWyy5CgaQbC7XSoOb0e
181,648,1982,99,Ebony And Ivory,Paul McCartney And Stevie Wonder,92.0,1,19,1982,1,3fVSMbeq8tY3G85yxcJwRU
182,649,1982,97,Chariots Of Fire - Titles,Vangelis,95.0,1,28,1982,1,40GkYO2g4a3sjipt8VtRkb
183,651,1982,99,Centerfold,The J. Geils Band,89.0,1,25,1982,1,1ynmMEK1fkyiZ6Z6F3ThEt
184,659,1981,87,Jessie's Girl,Rick Springfield,70.0,1,32,1981,1,5RsUlxLto4NZbhJpqJbHfN
185,660,1981,94,The One That You Love,Air Supply,79.0,1,19,1981,1,3FDAd5vW4P7xe1GBNOLyfD
186,661,1981,99,Bette Davis Eyes,Kim Carnes,93.0,1,26,1981,1,0odIT9B9BvOCnXfS0e4lB5
187,662,1981,100,Medley,Stars On 45,100.0,1,21,1981,1,2FbGlEPAjNhWvrVvlentVq
188,663,1981,93,Morning Train (Nine To Five),Sheena Easton,86.0,1,21,1981,1,1qvDt6W8oaTO9Q4pFNMFEm
189,668,1981,100,9 To 5,Dolly Parton,91.0,1,26,1981,1,4w3tQBXhn5345eUXDGBWZG
190,670,1981,95,I Love A Rainy Night,Eddie Rabbitt,75.0,1,28,1981,1,0zvNHIL7ci0ZzIoWU6RO2u
191,671,1981,95,(Just Like) Starting Over,John Lennon,49.0,1,22,1981,1,5y0YreEOnQiKFAnCrcFIXz
192,672,1981,97,Lady,Kenny Rogers,97.0,1,25,1981,1,7mXuWTczZNxG5EDcjFEuJR
193,686,1980,99,Funkytown,"Lipps, Inc.",95.0,1,23,1980,1,5Q6GRDSFdRwE7H37dQop9u
194,687,1980,94,Another Brick In The Wall (Part II),Pink Floyd,94.0,1,25,1980,1,33NHOyVja2kmc5VE85aX6v
195,689,1980,93,Escape (The Pina Colada Song),Rupert Holmes,69.0,1,21,1980,1,5IMtdHjJ1OtkxbGe4zfUxQ
196,697,1980,96,Babe,Styx,79.0,1,19,1980,1,0v4z1tuZvn6LGknom9Qx7d
197,699,1980,100,Pop Muzik,M,59.0,1,24,1980,1,25G8NNFBnjXgWCGtyPa1Ax
