danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0.6,0.706,10.0,-7.899,0.0,0.361,0.209,0.0,0.125,0.58,173.926,audio_features,4IYKjN1DrYzxKXt0umJqsG,spotify:track:4IYKjN1DrYzxKXt0umJqsG,https://api.spotify.com/v1/tracks/4IYKjN1DrYzxKXt0umJqsG,https://api.spotify.com/v1/audio-analysis/4IYKjN1DrYzxKXt0umJqsG,253533.0,4.0,
0.639,0.713,5.0,-4.368,0.0,0.0337,0.0539,0.0,0.102,0.717,86.1,audio_features,7ETjhPaIU4UmHOiimJBZz9,spotify:track:7ETjhPaIU4UmHOiimJBZz9,https://api.spotify.com/v1/tracks/7ETjhPaIU4UmHOiimJBZz9,https://api.spotify.com/v1/audio-analysis/7ETjhPaIU4UmHOiimJBZz9,161200.0,4.0,
0.927,0.619,5.0,-4.441,0.0,0.0539,0.0186,0.0,0.104,0.817,117.995,audio_features,6wsqVwoiVH2kde4k4KKAFU,spotify:track:6wsqVwoiVH2kde4k4KKAFU,https://api.spotify.com/v1/tracks/6wsqVwoiVH2kde4k4KKAFU,https://api.spotify.com/v1/audio-analysis/6wsqVwoiVH2kde4k4KKAFU,211582.0,4.0,
0.431,0.723,8.0,-5.887,1.0,0.0568,0.145,0.0,0.374,0.19,130.141,audio_features,7wuJGgpTNzbUyn26IOY6rj,spotify:track:7wuJGgpTNzbUyn26IOY6rj,https://api.spotify.com/v1/tracks/7wuJGgpTNzbUyn26IOY6rj,https://api.spotify.com/v1/audio-analysis/7wuJGgpTNzbUyn26IOY6rj,267360.0,4.0,
0.526,0.775,0.0,-6.05,1.0,0.0352,0.707,2.05e-05,0.217,0.962,80.106,audio_features,3G7tRC24Uh09Hmp1KZ7LQ2,spotify:track:3G7tRC24Uh09Hmp1KZ7LQ2,https://api.spotify.com/v1/tracks/3G7tRC24Uh09Hmp1KZ7LQ2,https://api.spotify.com/v1/audio-analysis/3G7tRC24Uh09Hmp1KZ7LQ2,167373.0,4.0,
0.655,0.837,11.0,-6.04,0.0,0.0723,0.0262,5.85e-06,0.0454,0.66,91.014,audio_features,6Vas6h9lB5mmeVDXdFqlQA,spotify:track:6Vas6h9lB5mmeVDXdFqlQA,https://api.spotify.com/v1/tracks/6Vas6h9lB5mmeVDXdFqlQA,https://api.spotify.com/v1/audio-analysis/6Vas6h9lB5mmeVDXdFqlQA,253613.0,4.0,
0.461,0.65,11.0,-5.372,1.0,0.0293,0.187,0.0,0.111,0.488,149.873,audio_features,4IZOdhEvXYWqh5XAXYzBk3,spotify:track:4IZOdhEvXYWqh5XAXYzBk3,https://api.spotify.com/v1/tracks/4IZOdhEvXYWqh5XAXYzBk3,https://api.spotify.com/v1/audio-analysis/4IZOdhEvXYWqh5XAXYzBk3,186067.0,4.0,
0.59,0.699,11.0,-7.529,0.0,0.079,0.00389,4.69e-05,0.0577,0.63,188.268,audio_features,4j1Bk0BEIGCF9hR7cSwl9d,spotify:track:4j1Bk0BEIGCF9hR7cSwl9d,https://api.spotify.com/v1/tracks/4j1Bk0BEIGCF9hR7cSwl9d,https://api.spotify.com/v1/audio-analysis/4j1Bk0BEIGCF9hR7cSwl9d,276067.0,4.0,
0.692,0.883,7.0,-4.698,1.0,0.0582,0.0512,0.0,0.228,0.614,122.984,audio_features,6qeaVZVHspTujI14G31W5s,spotify:track:6qeaVZVHspTujI14G31W5s,https://api.spotify.com/v1/tracks/6qeaVZVHspTujI14G31W5s,https://api.spotify.com/v1/audio-analysis/6qeaVZVHspTujI14G31W5s,184390.0,4.0,
0.709,0.517,5.0,-7.047,1.0,0.0535,0.49,0.0,0.0729,0.559,82.034,audio_features,5RYtz3cpYb28SV8f1FBtGc,spotify:track:5RYtz3cpYb28SV8f1FBtGc,https://api.spotify.com/v1/tracks/5RYtz3cpYb28SV8f1FBtGc,https://api.spotify.com/v1/audio-analysis/5RYtz3cpYb28SV8f1FBtGc,223315.0,4.0,
